,District No.,District Name,Public special ed enrollment 2016,Public special ed ratio 2016,Public total enrollment 2016,Special ed enrollment 2016,Total enrollment 2016,Special ed ratio 2016
0,15,Adams Central Community Schools,132,10.48,1259,25.0,297.0,8.42
1,25,North Adams Community Schools,260,14.37,1809,75.0,1069.0,7.02
2,35,South Adams Schools,195,15.02,1298,114.0,1012.0,11.26
3,125,M S D Southwest Allen County Schls,565,7.86,7190,629.0,9483.0,6.63
4,225,Northwest Allen County Schools,887,12.05,7362,677.0,10389.0,6.52
5,235,Fort Wayne Community Schools,4514,15.37,29377,849.0,13046.0,6.51
6,255,East Allen County Schools,1113,11.63,9569,824.0,12617.0,6.53
7,365,Bartholomew Con School Corp,1431,12.38,11562,224.0,3058.0,7.33
8,370,Flat Rock-Hawcreek School Corp,124,14.37,863,60.0,1025.0,5.85
9,395,Benton Community School Corp,438,23.41,1871,243.0,2362.0,10.29
10,515,Blackford County Schools,285,16.69,1708,,,
11,615,Western Boone Co Com Sch Dist,279,16.33,1709,51.0,616.0,8.28
12,630,Zionsville Community Schools,813,11.73,6931,301.0,6048.0,4.98
13,665,Lebanon Community School Corp,639,18.61,3434,265.0,3406.0,7.78
14,670,Brown County School Corporation,493,24.64,2001,254.0,3214.0,7.9
15,750,Carroll Consolidated School Corp,108,9.73,1110,195.0,1877.0,10.39
16,755,Delphi Community School Corp,154,10.91,1411,283.0,3035.0,9.32
17,775,Pioneer Regional School Corp,107,11.75,911,,,
18,815,Southeastern School Corp,143,10.68,1339,38.0,267.0,14.23
19,875,Logansport Community Sch Corp,499,11.73,4254,1.0,127.0,0.79
20,940,West Clark Community Schools,670,14.07,4761,208.0,3076.0,6.76
21,1000,Clarksville Community School Corp,236,16.83,1402,187.0,2733.0,6.84
22,1010,Greater Clark County Schools,1718,16.29,10544,208.0,2983.0,6.97
23,1125,Clay Community Schools,865,20.46,4228,4.0,462.0,0.87
24,1150,Clinton Central School Corporation,108,11.66,926,63.0,745.0,8.46
25,1160,Clinton Prairie School Corporation,161,13.39,1202,212.0,2333.0,9.09
26,1170,Community Schools of Frankfort,408,12.78,3193,164.0,2531.0,6.48
27,1180,Rossville Con School District,108,10.88,993,179.0,2043.0,8.76
28,1300,Crawford County Community Sch Corp,317,20.39,1555,19.0,743.0,2.56
29,1315,Barr-Reeve Community Schools Inc,87,10.61,820,16.0,172.0,9.3
30,1375,North Daviess Com Schools,176,15.09,1166,23.0,285.0,8.07
31,1405,Washington Community Schools,569,22.03,2583,30.0,359.0,8.36
32,1560,Sunman-Dearborn Com Sch Corp,589,15.45,3812,56.0,814.0,6.88
33,1600,South Dearborn Community Sch Corp,508,20.05,2534,72.0,976.0,7.38
34,1620,Lawrenceburg Community School Corp,324,15.98,2028,30.0,527.0,5.69
35,1655,Decatur County Community Schools,363,18.33,1980,82.0,1268.0,6.47
36,1730,Greensburg Community Schools,358,15.93,2248,62.0,761.0,8.15
37,1805,DeKalb Co Eastern Com Sch Dist,226,17.15,1318,47.0,737.0,6.38
38,1820,Garrett-Keyser-Butler Com Sch Corp,284,15.98,1777,181.0,2901.0,6.24
39,1835,DeKalb Co Ctl United Sch Dist,540,14.5,3725,265.0,4495.0,5.9
40,1875,Delaware Community School Corp,411,15.68,2622,11.0,206.0,5.34
41,1885,Wes-Del Community Schools,130,15.91,817,26.0,537.0,4.84
42,1895,Liberty-Perry Community Sch Corp,183,15.12,1210,20.0,357.0,5.6
43,1900,Cowan Community School Corp,99,12.52,791,42.0,488.0,8.61
44,1910,Yorktown Community Schools,281,11.09,2534,20.0,357.0,5.6
45,1940,Daleville Community Schools,67,7.25,924,77.0,1001.0,7.69
46,1970,Muncie Community Schools,1236,21.72,5690,190.0,3219.0,5.9
47,2040,Northeast Dubois Co Sch Corp,191,20.65,925,39.0,350.0,11.14
48,2100,Southeast Dubois Co Sch Corp,160,12.46,1284,,,
49,2110,Southwest Dubois Co Sch Corp,219,12.67,1728,39.0,350.0,11.14
50,2120,Greater Jasper Consolidated Schs,390,12.23,3190,40.0,477.0,8.39
51,2155,Fairfield Community Schools,232,10.79,2150,35.0,636.0,5.5
52,2260,Baugo Community Schools,201,10.62,1892,214.0,2534.0,8.45
53,2270,Concord Community Schools,732,13.57,5394,200.0,2690.0,7.43
54,2275,Middlebury Community Schools,535,11.68,4579,168.0,2053.0,8.18
55,2285,Wa-Nee Community Schools,341,11.48,2970,224.0,3010.0,7.44
56,2305,Elkhart Community Schools,2137,16.45,12993,415.0,6332.0,6.55
57,2315,Goshen Community Schools,814,12.31,6610,117.0,2106.0,5.56
58,2395,Fayette County School Corporation,569,15.97,3562,38.0,396.0,9.6
59,2400,New Albany-Floyd Co Con Sch,1935,16.94,11420,220.0,3174.0,6.93
60,2435,Attica Consolidated School Corp,154,21.1,730,19.0,208.0,9.13
61,2440,Covington Community School Corp,140,14.88,941,3.0,56.0,5.36
62,2455,Southeast Fountain School Corp,138,12.9,1070,3.0,56.0,5.36
63,2475,Franklin County Community Sch Corp,362,14.57,2484,24.0,437.0,5.49
64,2645,Rochester Community School Corp,294,16.01,1836,,,
65,2650,Caston School Corporation,65,9.43,689,,,
66,2725,East Gibson School Corporation,196,21.73,902,92.0,1215.0,7.57
67,2735,North Gibson School Corp,528,25.79,2047,107.0,1188.0,9.01
68,2765,South Gibson School Corporation,372,18.76,1983,59.0,478.0,12.34
69,2815,Eastbrook Community Sch Corp,232,14.38,1613,130.0,1539.0,8.45
70,2825,Madison-Grant United School Corp,203,16.54,1227,8.0,408.0,1.96
71,2855,Mississinewa Community School Corp,415,16.38,2534,141.0,1745.0,8.08
72,2865,Marion Community Schools,601,15.42,3898,130.0,1539.0,8.45
73,2920,Bloomfield School District,116,13.83,839,,,
74,2940,Eastern Greene Schools,189,15.37,1230,38.0,536.0,7.09
75,2950,Linton-Stockton School Corporation,137,9.66,1418,,,
76,2960,M S D Shakamak Schools,100,12.25,816,,,
77,2980,White River Valley School District,118,14.75,800,17.0,223.0,7.62
78,3005,Hamilton Southeastern Schools,2192,10.26,21367,652.0,9855.0,6.62
79,3025,Hamilton Heights School Corp,339,14.52,2334,87.0,1162.0,7.49
80,3030,Westfield-Washington Schools,1145,15.09,7590,377.0,6828.0,5.52
81,3055,Sheridan Community Schools,187,18.05,1036,,,
82,3060,Carmel Clay Schools,1547,9.62,16082,526.0,8994.0,5.85
83,3070,Noblesville Schools,1511,14.49,10426,373.0,6509.0,5.73
84,3115,Southern Hancock Co Com Sch Corp,522,14.78,3532,364.0,4918.0,7.4
85,3125,Greenfield-Central Com Schools,755,16.7,4521,106.0,2075.0,5.11
86,3135,Mt Vernon Community School Corp,595,15.13,3933,323.0,6945.0,4.65
87,3145,Eastern Hancock Co Com Sch Corp,217,17.92,1211,200.0,2828.0,7.07
88,3160,Lanesville Community School Corp,97,12.97,748,91.0,1715.0,5.31
89,3180,North Harrison Com School Corp,420,18.59,2259,86.0,1588.0,5.42
90,3190,South Harrison Com Schools,524,16.79,3120,91.0,1715.0,5.31
91,3295,North West Hendricks Schools,225,11.91,1889,77.0,1424.0,5.41
92,3305,Brownsburg Community School Corp,1012,11.58,8737,421.0,7337.0,5.74
93,3315,Avon Community School Corp,1378,14.67,9392,467.0,8694.0,5.37
94,3325,Danville Community School Corp,286,11.61,2463,188.0,3198.0,5.88
95,3330,Plainfield Community School Corp,781,14.29,5466,289.0,4579.0,6.31
96,3335,Mill Creek Community Sch Corp,254,16.62,1528,72.0,1045.0,6.89
97,3405,Blue River Valley Schools,88,13.23,665,20.0,357.0,5.6
98,3415,South Henry School Corp,96,11.68,822,25.0,309.0,8.09
99,3435,Shenandoah School Corporation,235,16.82,1397,86.0,1009.0,8.52
100,3445,New Castle Community School Corp,638,19.32,3302,11.0,206.0,5.34
101,3455,C A Beard Memorial School Corp,241,20.78,1160,,,
102,3460,Taylor Community School Corp,264,20.5,1288,202.0,2132.0,9.47
103,3470,Northwestern School Corp,225,12.51,1799,165.0,1374.0,12.01
104,3480,Eastern Howard School Corporation,235,15.66,1501,13.0,95.0,13.68
105,3490,Western School Corporation,352,13.08,2692,195.0,2563.0,7.61
106,3500,Kokomo School Corporation,1116,18.08,6172,208.0,2312.0,9.0
107,3625,Huntington Co Com Sch Corp,916,17.4,5265,216.0,4159.0,5.19
108,3640,Medora Community School Corp,47,22.93,205,5.0,114.0,4.39
109,3675,Seymour Community Schools,776,16.5,4704,91.0,1036.0,8.78
110,3695,Brownstown Cnt Com Sch Corp,227,14.35,1582,112.0,1255.0,8.92
111,3710,Crothersville Community Schools,97,19.72,492,66.0,818.0,8.07
112,3785,Kankakee Valley School Corp,502,14.67,3423,149.0,1705.0,8.74
113,3815,Rensselaer Central School Corp,285,16.97,1679,28.0,515.0,5.44
114,3945,Jay School Corporation,829,24.56,3376,33.0,350.0,9.43
115,3995,Madison Consolidated Schools,457,15.83,2887,25.0,710.0,3.52
116,4000,Southwestern-Jefferson Co Con,206,15.43,1335,25.0,617.0,4.05
117,4015,Jennings County School Corporation,876,19.91,4400,145.0,1990.0,7.29
118,4145,Clark-Pleasant Community Sch Corp,910,13.85,6571,401.0,5183.0,7.74
119,4205,Center Grove Community School Corp,1100,13.45,8180,602.0,7730.0,7.79
120,4215,Edinburgh Community School Corp,173,18.99,911,24.0,302.0,7.95
121,4225,Franklin Community School Corp,736,14.71,5004,335.0,4516.0,7.42
122,4245,Greenwood Community Sch Corp,609,15.61,3902,569.0,7550.0,7.54
123,4255,Nineveh-Hensley-Jackson United,280,15.32,1828,170.0,2601.0,6.54
124,4315,North Knox School Corp,206,15.56,1324,38.0,585.0,6.5
125,4325,South Knox School Corp,159,12.81,1241,22.0,413.0,5.33
126,4335,Vincennes Community School Corp,452,16.82,2687,38.0,585.0,6.5
127,4345,Wawasee Community School Corp,501,16.45,3045,55.0,634.0,8.68
128,4415,Warsaw Community Schools,1011,14.39,7024,93.0,836.0,11.12
129,4445,Tippecanoe Valley School Corp,339,18.42,1840,31.0,349.0,8.88
130,4455,Whitko Community School Corp,288,19.79,1455,57.0,842.0,6.77
131,4515,Prairie Heights Community Sch Corp,202,15.92,1269,59.0,1075.0,5.49
132,4525,Westview School Corporation,343,15.18,2259,24.0,509.0,4.72
133,4535,Lakeland School Corporation,341,17.18,1985,68.0,965.0,7.05
134,4580,Hanover Community School Corp,260,11.81,2201,58.0,1837.0,3.16
135,4590,River Forest Community Sch Corp,222,14.38,1544,45.0,1596.0,2.82
136,4600,Merrillville Community School Corp,833,12.79,6512,167.0,5367.0,3.11
137,4615,Lake Central School Corporation,1331,13.78,9656,202.0,5431.0,3.72
138,4645,Tri-Creek School Corporation,380,11.53,3297,73.0,2683.0,2.72
139,4650,Lake Ridge New Tech Schools,283,15.11,1873,63.0,1947.0,3.24
140,4660,Crown Point Community School Corp,903,10.76,8389,117.0,4217.0,2.77
141,4670,School City of East Chicago,842,18.63,4520,162.0,4446.0,3.64
142,4680,Lake Station Community Schools,174,13.5,1289,52.0,1651.0,3.15
143,4690,Gary Community School Corp,843,14.48,5823,208.0,5973.0,3.48
144,4700,Griffith Public Schools,357,14.35,2488,84.0,2967.0,2.83
145,4710,School City of Hammond,1986,14.32,13868,161.0,4469.0,3.6
146,4720,School Town of Highland,356,11.21,3176,97.0,2816.0,3.44
147,4730,School City of Hobart,504,12.59,4004,103.0,3228.0,3.19
148,4740,School Town of Munster,462,11.54,4002,74.0,2247.0,3.29
149,4760,School City of Whiting,157,13.16,1193,30.0,1377.0,2.18
150,4805,New Prairie United School Corp,380,12.68,2998,149.0,2286.0,6.52
151,4860,M S D of New Durham Township,110,12.4,887,32.0,405.0,7.9
152,4915,Tri-Township Cons School Corp,58,15.3,379,5.0,296.0,1.69
153,4925,Michigan City Area Schools,1046,18.68,5601,114.0,1906.0,5.98
154,4940,South Central Com School Corp,133,13.96,953,5.0,296.0,1.69
155,4945,LaPorte Community School Corp,1055,15.8,6676,70.0,1909.0,3.67
156,5075,North Lawrence Com Schools,983,19.95,4928,48.0,601.0,7.99
157,5085,Mitchell Community Schools,342,21.2,1613,34.0,476.0,7.14
158,5245,Frankton-Lapel Community Schools,418,13.26,3152,77.0,929.0,8.29
159,5255,South Madison Com Sch Corp,654,14.59,4481,130.0,1786.0,7.28
160,5265,Alexandria Community School Corp,260,16.66,1561,89.0,1266.0,7.03
161,5275,Anderson Community School Corp,1584,22.35,7088,333.0,4639.0,7.18
162,5280,Elwood Community School Corp,267,16.11,1657,71.0,1124.0,6.32
163,5300,M S D Decatur Township,915,14.18,6452,895.0,13435.0,6.66
164,5310,Franklin Township Com Sch Corp,1415,15.46,9151,1059.0,16230.0,6.52
165,5330,M S D Lawrence Township,2013,12.63,15936,969.0,15080.0,6.43
166,5340,Perry Township Schools,2024,12.55,16128,780.0,11276.0,6.92
167,5350,M S D Pike Township,1532,13.48,11369,839.0,13861.0,6.05
168,5360,M S D Warren Township,1875,15.25,12297,1195.0,17662.0,6.77
169,5370,M S D Washington Township,1681,14.64,11482,954.0,14745.0,6.47
170,5375,M S D Wayne Township,2003,12.43,16111,963.0,14608.0,6.59
171,5380,Beech Grove City Schools,507,16.32,3107,523.0,8257.0,6.33
172,5385,Indianapolis Public Schools,4890,17.0,28767,1543.0,22566.0,6.84
173,5400,School Town of Speedway,244,13.59,1796,174.0,4594.0,3.79
174,5455,Culver Community Schools Corp,108,13.86,779,79.0,1510.0,5.23
175,5470,Argos Community Schools,100,15.82,632,7.0,161.0,4.35
176,5480,Bremen Public Schools,193,12.97,1488,61.0,503.0,12.13
177,5485,Plymouth Community School Corp,470,12.77,3680,153.0,1861.0,8.22
178,5495,Triton School Corporation,73,8.25,885,11.0,149.0,7.38
179,5520,Shoals Community School Corp,158,26.87,588,11.0,191.0,5.76
180,5525,Loogootee Community Sch Corp,143,17.72,807,,,
181,5615,Maconaquah School Corp,377,16.25,2320,158.0,1583.0,9.98
182,5620,North Miami Community Schools,163,17.01,958,,,
183,5625,Oak Hill United School Corp,204,11.83,1724,125.0,1504.0,8.31
184,5635,Peru Community Schools,312,14.74,2116,4.0,76.0,5.26
185,5705,Richland-Bean Blossom C S C,480,17.09,2808,93.0,1125.0,8.27
186,5740,Monroe County Community Sch Corp,1670,15.02,11122,133.0,1602.0,8.3
187,5835,North Montgomery Com Sch Corp,355,18.65,1903,132.0,2203.0,5.99
188,5845,South Montgomery Com Sch Corp,300,17.86,1680,40.0,740.0,5.41
189,5855,Crawfordsville Community Schools,557,21.71,2566,59.0,918.0,6.43
190,5900,Monroe-Gregg School District,229,14.84,1543,58.0,957.0,6.06
191,5910,Eminence Community School Corp,75,19.95,376,21.0,321.0,6.54
192,5925,M S D Martinsville Schools,766,16.49,4645,132.0,2214.0,5.96
193,5930,Mooresville Con School Corp,612,13.75,4452,417.0,6635.0,6.28
194,5945,North Newton School Corp,212,15.28,1387,56.0,1212.0,4.62
195,5995,South Newton School Corp,144,16.9,852,,,
196,6055,Central Noble Com School Corp,210,17.21,1220,128.0,2019.0,6.34
197,6060,East Noble School Corporation,692,18.81,3678,232.0,4080.0,5.69
198,6065,West Noble School Corporation,295,12.28,2402,114.0,1012.0,11.26
199,6080,Rising Sun-Ohio Co Com,133,17.27,770,30.0,527.0,5.69
200,6145,Orleans Community Schools,164,20.02,819,,,
201,6155,Paoli Community School Corp,254,17.58,1445,,,
202,6160,Springs Valley Com School Corp,163,19.15,851,,,
203,6195,Spencer-Owen Community Schools,563,21.77,2586,93.0,1096.0,8.49
204,6260,Southwest Parke Com Sch Corp,212,20.85,1017,,,
205,6325,Perry Central Com Schools Corp,173,13.67,1266,,,
206,6340,Cannelton City Schools,54,20.85,259,,,
207,6350,Tell City-Troy Twp School Corp,249,16.97,1467,,,
208,6375,North Central Parke Comm Schl Corp,257,21.01,1223,,,
209,6445,Pike County School Corp,380,20.33,1869,43.0,405.0,10.62
210,6460,M S D Boone Township,173,14.93,1159,30.0,506.0,5.93
211,6470,Duneland School Corporation,943,16.14,5842,78.0,2077.0,3.76
212,6510,East Porter County School Corp,346,13.95,2480,26.0,652.0,3.99
213,6520,Porter Township School Corp,265,19.49,1360,83.0,2105.0,3.94
214,6530,Union Township School Corp,232,15.95,1455,22.0,303.0,7.26
215,6550,Portage Township Schools,1239,16.06,7717,94.0,2784.0,3.38
216,6560,Valparaiso Community Schools,896,14.31,6261,75.0,1526.0,4.91
217,6590,M S D Mount Vernon,491,23.53,2087,128.0,2034.0,6.29
218,6600,M S D North Posey Co Schools,295,19.81,1489,113.0,1554.0,7.27
219,6620,Eastern Pulaski Community Sch Corp,179,14.27,1254,114.0,1012.0,11.26
220,6630,West Central School Corp,151,18.33,824,69.0,1018.0,6.78
221,6705,South Putnam Community Schools,187,16.48,1135,,,
222,6715,North Putnam Community Schools,258,17.76,1453,,,
223,6750,Cloverdale Community Schools,217,17.74,1223,3.0,335.0,0.9
224,6755,Greencastle Community School Corp,302,15.67,1927,,,
225,6795,Union School Corporation,38,14.84,256,16.0,197.0,8.12
226,6805,Randolph Southern School Corp,77,14.67,525,15.0,154.0,9.74
227,6820,Monroe Central School Corp,177,16.51,1072,7.0,46.0,15.22
228,6825,Randolph Central School Corp,313,20.26,1545,7.0,46.0,15.22
229,6835,Randolph Eastern School Corp,152,17.0,894,28.0,335.0,8.36
230,6865,South Ripley Com Sch Corp,209,18.3,1142,53.0,806.0,6.58
231,6895,Batesville Community School Corp,289,13.38,2160,40.0,653.0,6.13
232,6900,Jac-Cen-Del Community Sch Corp,151,17.83,847,44.0,720.0,6.11
233,6910,Milan Community Schools,176,15.3,1150,6.0,210.0,2.86
234,6995,Rush County Schools,291,13.78,2111,75.0,636.0,11.79
235,7150,John Glenn School Corporation,241,12.38,1946,85.0,1731.0,4.91
236,7175,Penn-Harris-Madison School Corp,1402,12.75,10994,525.0,6932.0,7.57
237,7200,School City of Mishawaka,917,17.21,5328,524.0,6863.0,7.64
238,7205,South Bend Community School Corp,3347,18.48,18110,632.0,8464.0,7.47
239,7215,Union-North United School Corp,154,13.57,1135,93.0,1254.0,7.42
240,7230,Scott County School District 1,208,17.9,1162,0.0,93.0,
241,7255,Scott County School District 2,487,17.94,2715,122.0,1818.0,6.71
242,7285,Shelby Eastern Schools,202,17.0,1188,106.0,1317.0,8.05
243,7350,Northwestern Con School Corp,219,14.7,1490,168.0,2244.0,7.49
244,7360,Southwestern Con Sch Shelby Co,77,12.9,597,143.0,1762.0,8.12
245,7365,Shelbyville Central Schools,617,15.16,4069,192.0,2884.0,6.66
246,7385,North Spencer County Sch Corp,338,16.54,2044,64.0,470.0,13.62
247,7445,South Spencer County Sch Corp,213,17.39,1225,47.0,810.0,5.8
248,7495,Oregon-Davis School Corp,62,10.63,583,3.0,88.0,3.41
249,7515,North Judson-San Pierre Sch Corp,173,16.86,1026,117.0,1100.0,10.64
250,7525,Knox Community School Corp,233,12.06,1932,117.0,1100.0,10.64
251,7605,Fremont Community Schools,126,13.88,908,,,
252,7610,Hamilton Community Schools,57,17.38,328,36.0,597.0,6.03
253,7615,M S D Steuben County,423,15.08,2805,36.0,597.0,6.03
254,7645,Northeast School Corp,135,15.27,884,3.0,335.0,0.9
255,7715,Southwest School Corporation,243,14.0,1736,,,
256,7775,Switzerland County School Corp,302,19.82,1524,20.0,229.0,8.73
257,7855,Lafayette School Corporation,1500,19.5,7694,294.0,3497.0,8.41
258,7865,Tippecanoe School Corp,1776,13.64,13021,277.0,3232.0,8.57
259,7875,West Lafayette Com School Corp,222,9.46,2347,230.0,2599.0,8.85
260,7935,Tri-Central Community Schools,124,15.64,793,,,
261,7945,Tipton Community School Corp,232,14.24,1629,165.0,1628.0,10.14
262,7950,Union Co/Clg Corner Joint Sch Dist,213,15.21,1400,16.0,217.0,7.37
263,7995,Evansville Vanderburgh School Corp,3562,15.62,22801,445.0,5938.0,7.49
264,8010,North Vermillion Com Sch Corp,105,14.09,745,3.0,56.0,5.36
265,8020,South Vermillion Com Sch Corp,319,18.2,1753,,,
266,8030,Vigo County School Corp,2699,18.37,14689,4.0,350.0,1.14
267,8045,Manchester Community Schools,192,12.21,1572,52.0,530.0,9.81
268,8050,M S D Wabash County Schools,299,14.48,2065,12.0,484.0,2.48
269,8060,Wabash City Schools,266,17.65,1507,4.0,76.0,5.26
270,8115,M S D Warren County,220,17.96,1225,,,
271,8130,Warrick County School Corp,1830,17.82,10272,293.0,4352.0,6.73
272,8205,Salem Community Schools,515,26.84,1919,19.0,836.0,2.27
273,8215,East Washington School Corp,255,17.73,1438,34.0,489.0,6.95
274,8220,West Washington School Corp,150,18.89,794,45.0,800.0,5.63
275,8305,Nettle Creek School Corporation,190,17.04,1115,32.0,656.0,4.88
276,8355,Western Wayne Schools,133,12.9,1031,29.0,526.0,5.51
277,8360,Centerville-Abington Com Schs,198,11.53,1717,36.0,604.0,5.96
278,8375,Northeastern Wayne Schools,218,16.47,1324,31.0,443.0,7.0
279,8385,Richmond Community Schools,1052,21.05,4998,37.0,987.0,3.75
280,8425,Southern Wells Com Schools,118,14.06,839,,,
281,8435,Northern Wells Community Schools,337,13.73,2455,193.0,3514.0,5.49
282,8445,M S D Bluffton-Harrison,235,14.94,1573,13.0,97.0,13.4
283,8515,North White School Corp,123,14.42,853,43.0,598.0,7.19
284,8525,Frontier School Corporation,124,18.13,684,175.0,1876.0,9.33
285,8535,Tri-County School Corporation,141,19.11,738,53.0,900.0,5.89
286,8565,Twin Lakes School Corp,309,12.92,2392,77.0,1160.0,6.64
287,8625,Smith-Green Community Schools,164,13.69,1198,11.0,187.0,5.88
288,8665,Whitley County Con Schools,630,17.85,3529,274.0,5083.0,5.39
289,8810,CSUSA Howe,95,17.56,541,,,
290,8815,CSUSA Manual,149,21.41,696,,,
291,8820,Edison Learning Roosevelt,94,15.64,601,,,
292,8825,CSUSA Donnan,94,23.98,392,,,
293,9100,Indiana Department of Corrections,154,39.39,391,,,
294,9115,Kindezi Academy,14,8.38,167,,,
295,9120,Insight School of Indiana,134,20.21,663,,,
296,9305,Excel Center - Richmond,48,16.33,294,,,
297,9310,Charter School of the Dunes,58,12.53,463,,,
298,9315,Signature School Inc,3,0.83,361,,,
299,9320,Community Montessori Inc,115,21.22,542,,,
300,9325,Options Charter School - Carmel,39,22.16,176,,,
301,9330,Irvington Community School,157,15.32,1025,,,
302,9335,Excel Center - Lafayette Square,15,3.93,382,,,
303,9340,New Community School,27,18.12,149,,,
304,9345,Excel Center - Lafayette,44,13.79,319,,,
305,9350,Timothy L Johnson Academy,34,10.76,316,,,
306,9355,Excel Center - Kokomo,42,11.7,359,,,
307,9360,Veritas Academy,12,13.33,90,,,
308,9365,Enlace Academy,49,13.39,366,,,
309,9375,IN Math & Science Academy - South,36,18.85,191,,,
310,9380,Christel House Academy South,92,12.81,718,,,
311,9385,Christel House DORS South,2,0.75,265,,,
312,9395,Christel House Academy West,26,9.81,265,,,
313,9400,KIPP Indy College Prep Middle,61,20.07,304,,,
314,9410,KIPP Indy Unite Elementary,27,8.85,305,,,
315,9425,Tindley Genesis Academy,31,14.35,216,,,
316,9430,Tindley Summit Academy,34,11.18,304,,,
317,9440,Christel House DORS West,1,0.52,192,,,
318,9445,Charles A Tindley Accelerated Sch,25,9.16,273,,,
319,9460,Thea Bowman Leadership Academy,119,9.92,1199,,,
320,9465,Rural Community Schools Inc,68,40.48,168,,,
321,9485,SE Neighborhood Sch of Excellence,78,14.44,540,,,
322,9490,Indiana College Preparatory School,26,10.0,260,,,
323,9495,Joshua Academy,16,9.7,165,,,
324,9535,Gary Lighthouse Charter School,156,10.3,1515,,,
325,9545,21st Century Charter Sch of Gary,105,11.82,888,,,
326,9555,East Chicago Urban Enterprise Acad,34,7.89,431,,,
327,9575,Indpls Lighthouse Charter School,85,9.42,902,,,
328,9595,East Chicago Lighthouse Charter,48,10.91,440,,,
329,9605,IN Sch for the Blind & Vis Imprd,137,99.28,138,,,
330,9610,Indiana School For The Deaf,270,98.18,275,,,
331,9615,Andrew J Brown Academy,64,9.7,660,,,
332,9620,Burris Laboratory School,93,14.44,644,,,
333,9625,IN Acad for Sci Math & Humanities,4,1.21,330,,,
334,9630,Carpe Diem - Shadeland,23,34.33,67,,,
335,9640,Options Charter School Noblesville,68,33.33,204,,,
336,9645,Avondale Meadows Academy,79,17.48,452,,,
337,9650,Herron Charter,83,10.04,827,,,
338,9655,Hope Academy,3,12.0,25,,,
339,9665,Geist Montessori Academy,64,17.02,376,,,
340,9670,Indianapolis Metropolitan High Sch,48,18.11,265,,,
341,9680,Paramount School Of Excellence Inc,122,16.97,719,,,
342,9685,Aspire Charter Academy,74,10.65,695,,,
343,9690,Renaissance Academy Charter School,29,11.74,247,,,
344,9705,Hammond Academy of Science & Tech,28,5.1,549,,,
345,9710,Carpe Diem - Northwest,32,20.78,154,,,
346,9725,Canaan Community Academy,36,40.45,89,,,
347,9730,Neighbors' New Vistas High School,36,14.81,243,,,
348,9735,Inspire Academy - A Sch of Inquiry,43,24.71,174,,,
349,9740,Thurgood Marshall Leadership Acad,0,0.0,158,,,
350,9745,Tindley Preparatory Academy,37,19.58,189,,,
351,9750,Excel Center - Anderson,29,9.24,314,,,
352,9755,Carpe Diem - Meridian Campus,45,32.85,137,,,
353,9760,Smith Academy for Excellence,20,27.78,72,,,
354,9770,Indianapolis Lighthouse East,51,18.96,269,,,
355,9780,Indianapolis Academy of Excellence,17,18.09,94,,,
356,9785,IN Math & Science Academy,56,9.54,587,,,
357,9790,Anderson Preparatory Academy,128,15.76,812,,,
358,9795,Dr Robert H Faulkner Academy,12,10.0,120,,,
359,9805,Hoosier Academy - Indianapolis,43,17.41,247,,,
360,9835,The Bloomington Project School,69,24.82,278,,,
361,9840,Excel Center - University Heights,44,11.28,390,,,
362,9845,Xavier School of Excellence,38,17.76,214,,,
363,9855,Excel Center - Noblesville,26,13.13,198,,,
364,9865,Hoosier Acad Virtual Charter,435,13.02,3342,,,
365,9870,Discovery Charter School,67,12.93,518,,,
366,9875,Rock Creek Community Academy,141,27.81,507,,,
367,9880,Career Academy High School,68,25.56,266,,,
368,9885,Gary Middle College,20,8.44,237,,,
369,9890,Indiana Virtual School,222,7.53,2947,,,
370,9895,IN Math & Science Academy - North,84,15.14,555,,,
371,9900,Excel Center - South Bend,10,2.78,360,,,
372,9905,Indiana Connections Academy,631,15.65,4032,,,
373,9910,Excel Center for Adult Learners,103,9.94,1036,,,
374,9915,Marion Academy,47,27.65,170,,,
375,9920,Damar Charter Academy,160,97.56,164,,,
376,9925,Phalen Leadership Academy - IN Inc,23,7.42,310,,,
377,9930,Nexus Academy of Indianapolis,22,16.92,130,,,
378,9935,Vision Academy,74,16.86,439,,,
379,9940,Tindley Collegiate Academy,34,12.64,269,,,
380,9945,Tindley Renaissance Academy,52,9.56,544,,,
381,9950,Dugger Union Community School Corp,42,13.73,306,,,
382,9955,Mays Community Academy,39,21.67,180,,,
383,9960,Success Academy Primary School,83,17.47,475,,,
384,9965,Career Academy Middle School,83,20.8,399,,,
385,9970,ACE Preparatory Academy,2,5.56,36,,,
386,9975,Global Preparatory Academy,22,8.18,269,,,
387,9980,Steel City Academy,23,15.13,152,,,
388,9985,Seven Oaks Classical School,20,12.42,161,,,
389,9990,Heritage Institute of Arts & Tech,18,11.76,153,,,
390,9995,Excel Center - Shelbyville,3,3.57,84,,,
