,District ID,SC 2016,SpecEd 2016,Enrollment 2016,Avg. SpecEd Perc
0,1000.0,807.0,187.0,2733.0,6.84
1,1010.0,816.0,208.0,2983.0,6.97
2,1125.0,230.0,4.0,462.0,0.87
3,1150.0,287.0,63.0,745.0,8.46
4,1160.0,828.0,212.0,2333.0,9.09
5,1170.0,694.0,164.0,2531.0,6.48
6,1180.0,687.0,179.0,2043.0,8.76
7,125.0,4835.0,629.0,9483.0,6.63
8,1300.0,229.0,19.0,743.0,2.56
9,1315.0,109.0,16.0,172.0,9.3
10,1375.0,152.0,23.0,285.0,8.07
11,1405.0,234.0,30.0,359.0,8.36
12,15.0,171.0,25.0,297.0,8.42
13,1560.0,230.0,56.0,814.0,6.88
14,1600.0,302.0,72.0,976.0,7.38
15,1620.0,153.0,30.0,527.0,5.69
16,1655.0,503.0,82.0,1268.0,6.47
17,1730.0,250.0,62.0,761.0,8.15
18,1805.0,348.0,47.0,737.0,6.38
19,1820.0,1259.0,181.0,2901.0,6.24
20,1835.0,2184.0,265.0,4495.0,5.9
21,1875.0,115.0,11.0,206.0,5.34
22,1885.0,319.0,26.0,537.0,4.84
23,1895.0,170.0,20.0,357.0,5.6
24,1900.0,304.0,42.0,488.0,8.61
25,1910.0,170.0,20.0,357.0,5.6
26,1940.0,643.0,77.0,1001.0,7.69
27,1970.0,1298.0,190.0,3219.0,5.9
28,2040.0,82.0,39.0,350.0,11.14
29,2100.0,,,,
30,2110.0,82.0,39.0,350.0,11.14
31,2120.0,172.0,40.0,477.0,8.39
32,2155.0,383.0,35.0,636.0,5.5
33,225.0,5279.0,677.0,10389.0,6.52
34,2260.0,916.0,214.0,2534.0,8.45
35,2270.0,1158.0,200.0,2690.0,7.43
36,2275.0,803.0,168.0,2053.0,8.18
37,2285.0,1307.0,224.0,3010.0,7.44
38,2305.0,2569.0,415.0,6332.0,6.55
39,2315.0,1046.0,117.0,2106.0,5.56
40,235.0,7009.0,849.0,13046.0,6.51
41,2395.0,212.0,38.0,396.0,9.6
42,2400.0,931.0,220.0,3174.0,6.93
43,2435.0,54.0,19.0,208.0,9.13
44,2440.0,19.0,3.0,56.0,5.36
45,2455.0,19.0,3.0,56.0,5.36
46,2475.0,94.0,24.0,437.0,5.49
47,25.0,636.0,75.0,1069.0,7.02
48,255.0,6565.0,824.0,12617.0,6.53
49,2645.0,,,,
50,2725.0,368.0,92.0,1215.0,7.57
51,2735.0,493.0,107.0,1188.0,9.01
52,2765.0,99.0,59.0,478.0,12.34
53,2815.0,680.0,130.0,1539.0,8.45
54,2825.0,347.0,8.0,408.0,1.96
55,2855.0,795.0,141.0,1745.0,8.08
56,2865.0,680.0,130.0,1539.0,8.45
57,2940.0,282.0,38.0,536.0,7.09
58,2980.0,124.0,17.0,223.0,7.62
59,3005.0,2800.0,652.0,9855.0,6.62
60,3025.0,502.0,87.0,1162.0,7.49
61,3030.0,1801.0,377.0,6828.0,5.52
62,3055.0,,,,
63,3060.0,2591.0,526.0,8994.0,5.85
64,3070.0,1991.0,373.0,6509.0,5.73
65,3115.0,1723.0,364.0,4918.0,7.4
66,3125.0,1286.0,106.0,2075.0,5.11
67,3135.0,2296.0,323.0,6945.0,4.65
68,3145.0,1210.0,200.0,2828.0,7.07
69,3160.0,459.0,91.0,1715.0,5.31
70,3180.0,423.0,86.0,1588.0,5.42
71,3190.0,459.0,91.0,1715.0,5.31
72,3295.0,537.0,77.0,1424.0,5.41
73,3305.0,2758.0,421.0,7337.0,5.74
74,3315.0,3274.0,467.0,8694.0,5.37
75,3325.0,940.0,188.0,3198.0,5.88
76,3330.0,1787.0,289.0,4579.0,6.31
77,3335.0,341.0,72.0,1045.0,6.89
78,3405.0,170.0,20.0,357.0,5.6
79,3415.0,169.0,25.0,309.0,8.09
80,3435.0,627.0,86.0,1009.0,8.52
81,3445.0,115.0,11.0,206.0,5.34
82,3460.0,534.0,202.0,2132.0,9.47
83,3470.0,475.0,165.0,1374.0,12.01
84,3480.0,49.0,13.0,95.0,13.68
85,3490.0,788.0,195.0,2563.0,7.61
86,35.0,276.0,114.0,1012.0,11.26
87,3500.0,683.0,208.0,2312.0,9.0
88,3625.0,2398.0,216.0,4159.0,5.19
89,3640.0,86.0,5.0,114.0,4.39
90,365.0,1072.0,224.0,3058.0,7.33
91,3675.0,402.0,91.0,1036.0,8.78
92,3695.0,430.0,112.0,1255.0,8.92
93,370.0,366.0,60.0,1025.0,5.85
94,3710.0,385.0,66.0,818.0,8.07
95,3785.0,593.0,149.0,1705.0,8.74
96,3815.0,198.0,28.0,515.0,5.44
97,3945.0,238.0,33.0,350.0,9.43
98,395.0,834.0,243.0,2362.0,10.29
99,3995.0,377.0,25.0,710.0,3.52
100,4000.0,300.0,25.0,617.0,4.05
101,4015.0,781.0,145.0,1990.0,7.29
102,4145.0,1959.0,401.0,5183.0,7.74
103,4205.0,2976.0,602.0,7730.0,7.79
104,4215.0,212.0,24.0,302.0,7.95
105,4225.0,1570.0,335.0,4516.0,7.42
106,4245.0,2650.0,569.0,7550.0,7.54
107,4255.0,1045.0,170.0,2601.0,6.54
108,4315.0,233.0,38.0,585.0,6.5
109,4325.0,124.0,22.0,413.0,5.33
110,4335.0,233.0,38.0,585.0,6.5
111,4345.0,306.0,55.0,634.0,8.68
112,4415.0,391.0,93.0,836.0,11.12
113,4445.0,174.0,31.0,349.0,8.88
114,4455.0,401.0,57.0,842.0,6.77
115,4515.0,450.0,59.0,1075.0,5.49
116,4525.0,291.0,24.0,509.0,4.72
117,4535.0,458.0,68.0,965.0,7.05
118,4580.0,419.0,58.0,1837.0,3.16
119,4590.0,696.0,45.0,1596.0,2.82
120,4600.0,2500.0,167.0,5367.0,3.11
121,4615.0,1836.0,202.0,5431.0,3.72
122,4645.0,685.0,73.0,2683.0,2.72
123,4650.0,826.0,63.0,1947.0,3.24
124,4660.0,1616.0,117.0,4217.0,2.77
125,4670.0,2295.0,162.0,4446.0,3.64
126,4680.0,1019.0,52.0,1651.0,3.15
127,4690.0,2795.0,208.0,5973.0,3.48
128,4700.0,1460.0,84.0,2967.0,2.83
129,4710.0,2300.0,161.0,4469.0,3.6
130,4720.0,1083.0,97.0,2816.0,3.44
131,4730.0,1608.0,103.0,3228.0,3.19
132,4740.0,877.0,74.0,2247.0,3.29
133,4760.0,702.0,30.0,1377.0,2.18
134,4805.0,920.0,149.0,2286.0,6.52
135,4860.0,324.0,32.0,405.0,7.9
136,4915.0,160.0,5.0,296.0,1.69
137,4925.0,965.0,114.0,1906.0,5.98
138,4940.0,160.0,5.0,296.0,1.69
139,4945.0,791.0,70.0,1909.0,3.67
140,5075.0,268.0,48.0,601.0,7.99
141,5085.0,228.0,34.0,476.0,7.14
142,515.0,,,,
143,5245.0,586.0,77.0,929.0,8.29
144,5255.0,1106.0,130.0,1786.0,7.28
145,5265.0,810.0,89.0,1266.0,7.03
146,5275.0,1635.0,333.0,4639.0,7.18
147,5280.0,293.0,71.0,1124.0,6.32
148,5300.0,5875.0,895.0,13435.0,6.66
149,5310.0,6609.0,1059.0,16230.0,6.52
150,5330.0,5274.0,969.0,15080.0,6.43
151,5340.0,4804.0,780.0,11276.0,6.92
152,5350.0,5812.0,839.0,13861.0,6.05
153,5360.0,7183.0,1195.0,17662.0,6.77
154,5370.0,5510.0,954.0,14745.0,6.47
155,5375.0,5867.0,963.0,14608.0,6.59
156,5380.0,3301.0,523.0,8257.0,6.33
157,5385.0,9450.0,1543.0,22566.0,6.84
158,5400.0,1807.0,174.0,4594.0,3.79
159,5455.0,453.0,79.0,1510.0,5.23
160,5470.0,74.0,7.0,161.0,4.35
161,5480.0,279.0,61.0,503.0,12.13
162,5485.0,691.0,153.0,1861.0,8.22
163,5495.0,55.0,11.0,149.0,7.38
164,5520.0,76.0,11.0,191.0,5.76
165,5615.0,671.0,158.0,1583.0,9.98
166,5620.0,,,,
167,5625.0,668.0,125.0,1504.0,8.31
168,5635.0,47.0,4.0,76.0,5.26
169,5705.0,444.0,93.0,1125.0,8.27
170,5740.0,616.0,133.0,1602.0,8.3
171,5835.0,936.0,132.0,2203.0,5.99
172,5845.0,241.0,40.0,740.0,5.41
173,5855.0,353.0,59.0,918.0,6.43
174,5900.0,451.0,58.0,957.0,6.06
175,5910.0,139.0,21.0,321.0,6.54
176,5925.0,877.0,132.0,2214.0,5.96
177,5930.0,2380.0,417.0,6635.0,6.28
178,5945.0,394.0,56.0,1212.0,4.62
179,5995.0,,,,
180,6055.0,881.0,128.0,2019.0,6.34
181,6060.0,1953.0,232.0,4080.0,5.69
182,6065.0,276.0,114.0,1012.0,11.26
183,6080.0,153.0,30.0,527.0,5.69
184,615.0,225.0,51.0,616.0,8.28
185,6195.0,444.0,93.0,1096.0,8.49
186,630.0,1595.0,301.0,6048.0,4.98
187,6445.0,141.0,43.0,405.0,10.62
188,6460.0,225.0,30.0,506.0,5.93
189,6470.0,805.0,78.0,2077.0,3.76
190,6510.0,213.0,26.0,652.0,3.99
191,6520.0,722.0,83.0,2105.0,3.94
192,6530.0,267.0,22.0,303.0,7.26
193,6550.0,1261.0,94.0,2784.0,3.38
194,6560.0,740.0,75.0,1526.0,4.91
195,6590.0,711.0,128.0,2034.0,6.29
196,6600.0,369.0,113.0,1554.0,7.27
197,6620.0,276.0,114.0,1012.0,11.26
198,6630.0,419.0,69.0,1018.0,6.78
199,665.0,1171.0,265.0,3406.0,7.78
200,670.0,1095.0,254.0,3214.0,7.9
201,6750.0,140.0,3.0,335.0,0.9
202,6795.0,80.0,16.0,197.0,8.12
203,6805.0,80.0,15.0,154.0,9.74
204,6820.0,25.0,7.0,46.0,15.22
205,6825.0,25.0,7.0,46.0,15.22
206,6835.0,87.0,28.0,335.0,8.36
207,6865.0,279.0,53.0,806.0,6.58
208,6895.0,150.0,40.0,653.0,6.13
209,6900.0,247.0,44.0,720.0,6.11
210,6910.0,63.0,6.0,210.0,2.86
211,6995.0,173.0,75.0,636.0,11.79
212,7150.0,690.0,85.0,1731.0,4.91
213,7175.0,2830.0,525.0,6932.0,7.57
214,7200.0,2751.0,524.0,6863.0,7.64
215,7205.0,3862.0,632.0,8464.0,7.47
216,7215.0,684.0,93.0,1254.0,7.42
217,7230.0,77.0,0.0,93.0,
218,7255.0,773.0,122.0,1818.0,6.71
219,7285.0,384.0,106.0,1317.0,8.05
220,7350.0,802.0,168.0,2244.0,7.49
221,7360.0,536.0,143.0,1762.0,8.12
222,7365.0,1137.0,192.0,2884.0,6.66
223,7385.0,162.0,64.0,470.0,13.62
224,7445.0,273.0,47.0,810.0,5.8
225,7495.0,57.0,3.0,88.0,3.41
226,750.0,669.0,195.0,1877.0,10.39
227,7515.0,333.0,117.0,1100.0,10.64
228,7525.0,333.0,117.0,1100.0,10.64
229,755.0,1153.0,283.0,3035.0,9.32
230,7610.0,262.0,36.0,597.0,6.03
231,7615.0,262.0,36.0,597.0,6.03
232,7645.0,140.0,3.0,335.0,0.9
233,7775.0,111.0,20.0,229.0,8.73
234,7855.0,1343.0,294.0,3497.0,8.41
235,7865.0,1209.0,277.0,3232.0,8.57
236,7875.0,928.0,230.0,2599.0,8.85
237,7935.0,,,,
238,7945.0,501.0,165.0,1628.0,10.14
239,7950.0,124.0,16.0,217.0,7.37
240,7995.0,1988.0,445.0,5938.0,7.49
241,8010.0,19.0,3.0,56.0,5.36
242,8020.0,,,,
243,8030.0,154.0,4.0,350.0,1.14
244,8045.0,287.0,52.0,530.0,9.81
245,8050.0,394.0,12.0,484.0,2.48
246,8060.0,47.0,4.0,76.0,5.26
247,8115.0,,,,
248,8130.0,1421.0,293.0,4352.0,6.73
249,815.0,150.0,38.0,267.0,14.23
250,8205.0,306.0,19.0,836.0,2.27
251,8215.0,107.0,34.0,489.0,6.95
252,8220.0,260.0,45.0,800.0,5.63
253,8305.0,358.0,32.0,656.0,4.88
254,8355.0,277.0,29.0,526.0,5.51
255,8360.0,323.0,36.0,604.0,5.96
256,8375.0,235.0,31.0,443.0,7.0
257,8385.0,659.0,37.0,987.0,3.75
258,8435.0,1762.0,193.0,3514.0,5.49
259,8445.0,51.0,13.0,97.0,13.4
260,8515.0,243.0,43.0,598.0,7.19
261,8525.0,619.0,175.0,1876.0,9.33
262,8535.0,438.0,53.0,900.0,5.89
263,8565.0,473.0,77.0,1160.0,6.64
264,8625.0,114.0,11.0,187.0,5.88
265,8665.0,2387.0,274.0,5083.0,5.39
266,875.0,90.0,1.0,127.0,0.79
267,940.0,893.0,208.0,3076.0,6.76
268,nan,261.0,216.0,3100.0,6.97
